S2085 Outline	S2085 Text	Common	S685 Outline	S685 Text
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(C)(ii)	3.2 percentage points.			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(D)	AFTER 2050.—In the case of any calendar year beginning after 2050, the applicable percentage shall be equal to zero.	case, calendar, applicable, percentage, equal	[SEC. 3.(a)(1)] (i)(2)(B)	2036 THROUGH 2050.—In the case of calendar years 2036 through 2050, the applicable percentage shall be equal to—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(D)		case, calendar, beginning, applicable, percentage, equal	[SEC. 3.(a)(1)] (i)(2)(C)	AFTER 2050.—In the case of any calendar year beginning after 2050, the applicable percentage shall be equal to 10 percent.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)	EMISSIONS REPORTING.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(A)	IN GENERAL.—Not later than September 30, 2024, and annually thereafter, the Administrator, in consultation with the Secretary, shall make available to the public a report on the cumulative emissions during the applicable period.	september, annually, thereafter, administrator, consultation, secretary, available, public, report	[SEC. 3.(a)(1)] (i)(3)(A)	REPORTING.—Not later than September 30, 2024, and annually thereafter, the Administrator, in consultation with the Secretary, shall make available to the public a report on—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(A)		september, annually, thereafter, administrator, consultation, secretary, report, cumulative, emissions	[SEC. 3.(a)(1)] (i)(3)(B)	DETERMINATIONS.—Not later than September 30, 2025, and annually thereafter, the Administrator, in consultation with the Secretary and as part of the report described in subparagraph (A), shall determine whether cumulative emissions with respect to the preceding calendar year exceeded the cumulative emissions target with respect to such year.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)	METHODOLOGY.—Not later than January 1, 2023, the Administrator shall prescribe rules for quantifying cumulative emissions under subparagraph (A), which shall—			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(i)	to the greatest extent practicable, employ existing data sources and accepted greenhouse gas accounting practices, while also allowing for use of state-of-the-art techniques to measure or estimate sources and sinks of greenhouse gas emissions which are not subject to fees under this subchapter, as the Administrator deems appropriate to meet the goals of this subparagraph,	greatest, extent, practicable, greenhouse, gas, emissions, administrator, appropriate, subparagraph	[SEC. 3.(a)(1)] (i)(1)(B)	METHODOLOGY.—For purposes of subparagraph (A), with respect to determining the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018, the Administrator shall use such methods as are determined appropriate, provided that such methods are, to the greatest extent practicable, comparable to the methods established under paragraph (4).
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(i)		greatest, extent, practicable, employ, existing, data, greenhouse, gas, accounting, practices	[SEC. 3.(a)(1)] (i)(4)(A)(i)	to the greatest extent practicable, employ existing data collection methodologies and greenhouse gas accounting practices,
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(i)		greenhouse, gas, practices, emissions, administrator	SEC. 6.(c)(1)	IN GENERAL.—The Secretary, in consultation with the Administrator of the Environmental Protection Agency, shall establish a program to provide payments to eligible producers that will assist with the transition to reducing greenhouse gas emissions through the adoption of qualifying practices described in paragraph (2).
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(i)		greenhouse, gas, emissions, subject, fees	SEC. 8.(b)(1)(A)	total annual greenhouse gas emissions by the United States, including greenhouse gas emissions not subject to the fees described in that subsection;
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(i)		greenhouse, gas, emissions, subject, fees, administrator, goals	SEC. 8.(b)(2)(A)	a projection of greenhouse gas emissions reductions that would result if the regulations of the Administrator were to be adjusted to impose stricter limits on greenhouse gas emissions than the goals described in that subsection, with a particular focus on greenhouse gas emissions not subject to the fees described in that subsection;
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)	subject to such penalties as are determined appropriate by the Administrator, require any entity subject to fees or refunds under this subchapter to report, not later than April 1 of each calendar year, the total quantity of greenhouse gas emissions subject to fees or refunds under this subchapter for which such entity was liable during the preceding calendar year, and	determined, entity, total, emissions, preceding		in the case of any noncovered fuel emissions, the entity which is the source of such emissions, provided that the total amount of carbon dioxide or methane emitted by such entity for the preceding year (as determined using the methodology required under section 4692(e)(4)) was not less than 25,000 metric tons, and (E) any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		determined, entity, greenhouse, gas, emissions		any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment. (5) COVERED FUEL.—The term ‘covered fuel’ means crude oil, natural gas, coal, or any other product derived from crude oil, natural gas, or coal which shall be used so as to emit greenhouse gases to the atmosphere.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		determined, calendar, greenhouse, gas, emissions	[SEC. 3.(a)] SEC. 4692.(a)(4)	EMISSIONS TARGET.—The term ‘emissions target’ means the target for greenhouse gas emissions during a calendar year as determined under subsection (e)(1).
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		calendar, total, greenhouse, gas, emissions	[SEC. 3.(a)(1)] (i)(1)(A)(i)	for calendar years 2023 and 2024, the applicable percentage of the total amount of greenhouse gas emissions from the use of any covered fuel during calendar year 2018, and
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		calendar, total, greenhouse, gas, emissions	[SEC. 3.(a)(1)] (i)(1)(A)(ii)	for calendar year 2025 and each calendar year thereafter, the applicable percentage of the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		determined, appropriate, administrator, calendar, total, greenhouse, gas, emissions	[SEC. 3.(a)(1)] (i)(1)(B)	METHODOLOGY.—For purposes of subparagraph (A), with respect to determining the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018, the Administrator shall use such methods as are determined appropriate, provided that such methods are, to the greatest extent practicable, comparable to the methods established under paragraph (4).
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		administrator, report, calendar, emissions, preceding	[SEC. 3.(a)(1)] (i)(3)(B)	DETERMINATIONS.—Not later than September 30, 2025, and annually thereafter, the Administrator, in consultation with the Secretary and as part of the report described in subparagraph (A), shall determine whether cumulative emissions with respect to the preceding calendar year exceeded the cumulative emissions target with respect to such year.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		subject, penalties, determined, appropriate, administrator, require, entity, report, april, calendar	[SEC. 3.(a)(1)] (i)(4)(A)(iii)	subject to such penalties as are determined appropriate by the Administrator, require any covered entity to report, not later than April 1 of each calendar year—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		entity, calendar, total, greenhouse, gas, preceding	[SEC. 3.(a)(1)] (i)(4)(A)(iii)(I)	the total greenhouse gas content of any covered fuels used, sold, or transferred by such covered entity during the preceding calendar year, and
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		entity, calendar, total, emissions, preceding	[SEC. 3.(a)(1)] (i)(4)(A)(iii)(II)	the total noncovered fuel emissions of the covered entity during the preceding calendar year, and
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		subject, determined, appropriate, administrator, require, entity	[SEC. 3.(a)(1)] (i)(4)(A)(iv)	require any information reported pursuant to clause (iii) to be verified by a third-party entity that, subject to such process as is determined appropriate by the Administrator, has been certified by the Administrator with respect to the qualifications, independence, and reliability of such entity.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		administrator, calendar, greenhouse, gas, emissions	[SEC. 3.(a)(1)] (i)(5)	REVISIONS.—With respect to any determination made by the Administrator as to the amount of greenhouse gas emissions for any calendar year (including calendar year 2018), any subsequent revision by the Administrator with respect to such amount shall apply for purposes of the fee imposed under subsection (b) for any calendar years beginning after such revision. (f) EXEMPTION AND REFUND.—The Secretary shall prescribe such rules as are necessary to ensure the carbon fee imposed by this section is not imposed with respect to any nonemitting use, or any sale or transfer for a nonemitting use, including rules providing for the refund of any carbon fee paid under this section with respect to any such use, sale, or transfer.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		subject, fees, total, greenhouse, gas, emissions	SEC. 8.(b)(1)(A)	total annual greenhouse gas emissions by the United States, including greenhouse gas emissions not subject to the fees described in that subsection;
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)		subject, administrator, fees, greenhouse, gas, emissions	SEC. 8.(b)(2)(A)	a projection of greenhouse gas emissions reductions that would result if the regulations of the Administrator were to be adjusted to impose stricter limits on greenhouse gas emissions than the goals described in that subsection, with a particular focus on greenhouse gas emissions not subject to the fees described in that subsection;
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(iii)	require any information reported pursuant to clause (ii) to be verified by a third-party entity that, subject to such process as is determined appropriate by the Administrator, has been certified by the Administrator with respect to the qualifications, independence, and reliability of such entity.	require, entity, subject, determined, appropriate, administrator	[SEC. 3.(a)(1)] (i)(4)(A)(iii)	subject to such penalties as are determined appropriate by the Administrator, require any covered entity to report, not later than April 1 of each calendar year—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(iii)		require, information, reported, pursuant, clause, verified, entity, subject, process, determined, appropriate, administrator, certified, respect, qualifications, independence, reliability	[SEC. 3.(a)(1)] (i)(4)(A)(iv)	require any information reported pursuant to clause (iii) to be verified by a third-party entity that, subject to such process as is determined appropriate by the Administrator, has been certified by the Administrator with respect to the qualifications, independence, and reliability of such entity.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(C)	GREENHOUSE GAS REPORTING PROGRAM.—For purposes of establishing the rules described in subparagraph (B), the Administrator may elect to modify the activities of the Greenhouse Gas Reporting Program to satisfy the requirements described in clauses (i) through (iii) of such subparagraph.	greenhouse, gas, purposes, subparagraph, administrator	[SEC. 3.(a)(1)] (i)(1)(B)	METHODOLOGY.—For purposes of subparagraph (A), with respect to determining the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018, the Administrator shall use such methods as are determined appropriate, provided that such methods are, to the greatest extent practicable, comparable to the methods established under paragraph (4).
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(C)		greenhouse, gas, purposes, rules, administrator	[SEC. 3.(a)(1)] (i)(4)(A)	IN GENERAL.—Not later than January 1, 2023, the Administrator shall prescribe rules for greenhouse gas accounting for covered entities for purposes of this subchapter, which shall—
